,Name,Position,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total
45,J. Veretout,LDM,84.0,72.0,76.0,85.0,84.0,401.0
46,J. Henderson,RCM,67.0,66.0,69.0,86.0,83.0,371.0
47,I. Gündoğan,LCM,66.0,65.0,77.0,74.0,70.0,352.0
48,R. Nainggolan,LCM,70.0,71.0,69.0,69.0,85.0,364.0
49,T. Delaney,SUB,77.0,74.0,73.0,87.0,85.0,396.0
50,Lucas Paquetá,CAM,73.0,76.0,77.0,84.0,78.0,388.0
51,F. Kessié,LDM,76.0,79.0,72.0,94.0,84.0,405.0
52,R. Malinovskyi,RF,73.0,74.0,69.0,81.0,78.0,375.0
53,K. Walker,RB,89.0,94.0,66.0,86.0,84.0,419.0
54,R. Gosens,LM,79.0,84.0,71.0,89.0,80.0,403.0
55,S. Mané,LW,93.0,90.0,93.0,85.0,75.0,436.0
56,L. Pellegrini,CAM,77.0,79.0,79.0,88.0,72.0,395.0
57,D. Wass,RCM,73.0,75.0,73.0,87.0,74.0,382.0
58,A. Hakimi,RB,95.0,95.0,86.0,91.0,75.0,442.0
59,Y. Tielemans,RDM,67.0,59.0,67.0,81.0,68.0,342.0
60,Ricardo Pereira,RB,82.0,83.0,79.0,84.0,79.0,407.0
61,T. Hernández,LB,92.0,94.0,78.0,90.0,82.0,436.0
62,Grimaldo,LWB,86.0,87.0,84.0,90.0,69.0,416.0
63,21 Renato Augusto,LCM,73.0,70.0,73.0,85.0,67.0,368.0
64,Neymar Jr,LW,93.0,89.0,96.0,81.0,63.0,422.0
65,K. Trippier,SUB,74.0,73.0,73.0,87.0,73.0,380.0
66,N. De la Cruz,RAM,86.0,83.0,92.0,93.0,87.0,441.0
67,12 M. Ballack,SUB,64.0,60.0,59.0,68.0,82.0,333.0
68,Roberto Firmino,CF,77.0,77.0,85.0,87.0,75.0,401.0
69,19 C. Marchisio,RES,75.0,77.0,78.0,77.0,78.0,385.0
70,R. De Paul,SUB,81.0,76.0,78.0,86.0,69.0,390.0
71,N. Kanté,RCM,82.0,75.0,82.0,97.0,93.0,429.0
72,A. Florenzi,SUB,79.0,74.0,86.0,82.0,66.0,387.0
73,Yuri Berchiche,SUB,81.0,84.0,80.0,85.0,85.0,415.0
74,G. Bale,SUB,80.0,83.0,78.0,61.0,64.0,366.0
75,Portu,SUB,89.0,90.0,83.0,88.0,82.0,432.0
76,A. Di María,SUB,83.0,83.0,94.0,78.0,73.0,411.0
77,21 I. Fernández,RCM,75.0,77.0,81.0,85.0,77.0,395.0
78,Jesús Navas,RB,90.0,84.0,82.0,82.0,75.0,413.0
79,F. Valverde,SUB,82.0,90.0,76.0,86.0,81.0,415.0
80,R. Guerreiro,LB,84.0,67.0,88.0,79.0,52.0,370.0
81,L. Paredes,SUB,67.0,66.0,71.0,79.0,89.0,372.0
82,K. Mbappé,ST,97.0,97.0,92.0,88.0,62.0,436.0
83,G. Lo Celso,SUB,76.0,75.0,83.0,76.0,82.0,392.0
84,19 D. Srna,RB,69.0,76.0,71.0,68.0,83.0,367.0
85,A. Kolarov,RES,62.0,63.0,61.0,67.0,84.0,337.0
86,Fred,LDM,81.0,74.0,88.0,93.0,87.0,423.0
87,Carlos Soler,RM,75.0,80.0,75.0,85.0,65.0,380.0
88,19 C. Noboa,SUB,73.0,73.0,77.0,90.0,68.0,381.0
89,Rúben Neves,RCM,64.0,54.0,68.0,79.0,83.0,348.0
90,Anderson Talisca,CAM,84.0,76.0,87.0,82.0,67.0,396.0
91,J. Corona,RW,86.0,81.0,91.0,88.0,73.0,419.0
92,Parejo,LCM,52.0,49.0,63.0,78.0,58.0,300.0
93,C. Tolisso,SUB,69.0,64.0,75.0,77.0,83.0,368.0
94,A. Witsel,CDM,60.0,61.0,71.0,76.0,75.0,343.0
95,Raúl García,RS,45.0,37.0,54.0,75.0,84.0,295.0
96,Fabinho,CDM,65.0,68.0,64.0,88.0,85.0,370.0
97,A. Robertson,LB,83.0,85.0,78.0,95.0,85.0,426.0
98,T. Partey,RDM,63.0,74.0,75.0,83.0,84.0,379.0
99,L. Robertone,LCM,87.0,84.0,91.0,86.0,81.0,429.0
100,L. Provod,RES,77.0,79.0,75.0,90.0,80.0,401.0
101,Renan Lodi,SUB,85.0,83.0,85.0,84.0,78.0,415.0
102,M. Arnold,LDM,65.0,65.0,68.0,78.0,77.0,353.0
103,17 J. Vargas,SUB,72.0,76.0,67.0,63.0,80.0,358.0
104,I. Bennacer,RDM,80.0,67.0,86.0,79.0,81.0,393.0
105,E. Banega,CAM,63.0,61.0,76.0,74.0,83.0,357.0
106,H. Herrera,SUB,71.0,70.0,73.0,93.0,84.0,391.0
107,Marcelo,SUB,74.0,73.0,80.0,67.0,77.0,371.0
108,W. McKennie,SUB,80.0,81.0,73.0,85.0,81.0,400.0
109,T. Lemar,LCM,84.0,80.0,88.0,76.0,63.0,391.0
110,I. Perišić,LM,82.0,81.0,81.0,75.0,65.0,384.0
111,Arthur,RES,71.0,67.0,85.0,79.0,70.0,372.0
112,17 S. Gerrard,RES,55.0,54.0,59.0,68.0,85.0,321.0
113,Capa,SUB,81.0,83.0,81.0,93.0,86.0,424.0
114,P. Ševčík,RES,80.0,80.0,86.0,91.0,74.0,411.0
115,Oscar,CAM,82.0,74.0,87.0,84.0,60.0,387.0
116,T. Kroos,LCM,55.0,52.0,63.0,75.0,60.0,305.0
117,F. Mendy,SUB,91.0,92.0,81.0,89.0,82.0,435.0
118,Alex Sandro,LB,78.0,83.0,78.0,83.0,80.0,402.0
119,Diogo Jota,SUB,88.0,81.0,87.0,81.0,85.0,422.0
120,L. Stindl,CAM,63.0,59.0,70.0,75.0,74.0,341.0
121,M. Pjanić,RCM,67.0,64.0,74.0,79.0,70.0,354.0
122,J. Tavernier,RB,82.0,84.0,76.0,87.0,70.0,399.0
123,O. Zinchenko,SUB,75.0,71.0,78.0,76.0,74.0,374.0
124,Pizzi,SUB,78.0,73.0,77.0,78.0,67.0,373.0
125,17 P. Lahm,RB,68.0,67.0,82.0,79.0,58.0,354.0
126,H. Mkhitaryan,LM,86.0,85.0,84.0,88.0,69.0,412.0
127,M. Rashford,SUB,86.0,93.0,84.0,86.0,73.0,422.0
128,L. Martínez,LS,86.0,83.0,86.0,80.0,86.0,421.0
129,H. Son,LW,85.0,90.0,86.0,88.0,62.0,411.0
130,D. van de Beek,SUB,67.0,69.0,75.0,84.0,76.0,371.0
131,T. Koopmeiners,SUB,66.0,64.0,66.0,84.0,71.0,351.0
132,J. Milner,SUB,60.0,52.0,68.0,77.0,86.0,343.0
133,19 Filipe Luís,LB,76.0,75.0,74.0,89.0,81.0,395.0
134,Sérgio Oliveira,LCM,62.0,55.0,69.0,76.0,76.0,338.0
135,A. Golovin,LF,77.0,84.0,88.0,88.0,76.0,413.0
136,Z. Junuzović,RES,75.0,66.0,87.0,81.0,71.0,380.0
137,20 T. Vilhena,SUB,77.0,73.0,76.0,85.0,81.0,392.0
138,M. Hamšík,LCM,69.0,67.0,76.0,76.0,60.0,348.0
139,J. Ward-Prowse,RCM,66.0,54.0,75.0,91.0,73.0,359.0
140,C. Aránguiz,RDM,68.0,63.0,79.0,80.0,84.0,374.0
141,Ander Herrera,RCM,68.0,62.0,75.0,81.0,82.0,368.0
142,Fernandinho,SUB,67.0,52.0,69.0,66.0,86.0,340.0
143,M. Uribe,RCM,75.0,75.0,74.0,93.0,75.0,392.0
144,G. Bonaventura,RCM,69.0,69.0,75.0,69.0,68.0,350.0
145,G. Kondogbia,CDM,67.0,69.0,73.0,82.0,86.0,377.0
146,Lucas Vázquez,SUB,83.0,82.0,81.0,91.0,72.0,409.0
147,16 Michel Bastos,RW,85.0,83.0,82.0,76.0,65.0,391.0
148,K. Laimer,RDM,82.0,81.0,76.0,88.0,85.0,412.0
149,16 Maicon,SUB,74.0,76.0,72.0,70.0,73.0,365.0
150,T. Müller,CAM,66.0,67.0,73.0,86.0,62.0,354.0
151,17 B. Trémoulinas,RES,82.0,82.0,81.0,87.0,72.0,404.0
152,A. Rabiot,LDM,70.0,81.0,69.0,86.0,69.0,375.0
153,16 Raúl Meireles,SUB,69.0,74.0,70.0,78.0,82.0,373.0
154,J. Vardy,ST,85.0,85.0,76.0,76.0,87.0,409.0
155,J. Kucka,LDM,60.0,57.0,68.0,86.0,86.0,357.0
156,P. Dybala,CAM,88.0,80.0,92.0,70.0,43.0,373.0
157,T. Savanier,CAM,70.0,65.0,86.0,78.0,83.0,382.0
158,Campaña,LCM,70.0,66.0,74.0,82.0,63.0,355.0
159,21 Hulk,LW,83.0,78.0,70.0,85.0,83.0,399.0
160,Adryan Zonta,LB,92.0,93.0,81.0,91.0,69.0,426.0
161,Jorginho,LCM,61.0,50.0,77.0,87.0,79.0,354.0
162,Jonathan Viera,CAM,85.0,79.0,92.0,79.0,63.0,398.0
163,Gerson,LM,73.0,74.0,79.0,77.0,81.0,384.0
164,I. Rakitić,SUB,59.0,56.0,69.0,74.0,67.0,325.0
165,Marcos Alonso,LWB,61.0,55.0,64.0,82.0,75.0,337.0
166,Allan,LDM,77.0,68.0,78.0,92.0,89.0,404.0
167,L. Shaw,LB,76.0,81.0,75.0,80.0,84.0,396.0
168,R. Vormer,RCM,64.0,53.0,64.0,92.0,80.0,353.0
169,21 Santi Cazorla,SUB,64.0,61.0,76.0,60.0,67.0,328.0
170,Bernardo Silva,SUB,83.0,77.0,94.0,93.0,70.0,417.0
171,C. Erkin,LB,71.0,68.0,71.0,69.0,88.0,367.0
172,Danilo,RB,67.0,77.0,62.0,77.0,78.0,361.0
173,A. Correa,SUB,86.0,85.0,90.0,82.0,79.0,422.0
174,C. Nkunku,RAM,81.0,78.0,85.0,74.0,59.0,377.0
175,M. Reus,CAM,76.0,71.0,83.0,67.0,51.0,348.0
176,João Moutinho,LCM,55.0,45.0,75.0,75.0,74.0,324.0
177,D. Caligiuri,LCM,67.0,66.0,74.0,82.0,72.0,361.0
178,K. Volland,RF,76.0,70.0,75.0,90.0,80.0,391.0
179,B. Bourigeaud,RCM,71.0,70.0,72.0,84.0,73.0,370.0
180,M. Kovačić,SUB,77.0,65.0,87.0,79.0,77.0,385.0
181,Juan Bernat,LB,82.0,82.0,86.0,79.0,75.0,404.0
182,Richarlison,LM,85.0,81.0,79.0,83.0,84.0,412.0
183,D. Klaassen,SUB,69.0,72.0,68.0,90.0,79.0,378.0
184,Carvajal,RB,79.0,80.0,79.0,89.0,84.0,411.0
185,Rafinha,SUB,74.0,68.0,83.0,66.0,70.0,361.0
186,E. Bardhi,LM,79.0,71.0,85.0,75.0,62.0,372.0
187,A. Oxlade-Chamberlain,SUB,82.0,81.0,79.0,80.0,77.0,399.0
188,M. Casco,RB,84.0,83.0,83.0,84.0,84.0,418.0
189,M. Dembélé,LCM,69.0,71.0,77.0,66.0,73.0,356.0
190,O. Trejo,CAM,68.0,73.0,91.0,89.0,70.0,391.0
191,R. Karsdorp,RB,84.0,89.0,67.0,80.0,78.0,398.0
192,B. André,RCM,65.0,69.0,72.0,93.0,87.0,386.0
193,19 Ramires,SUB,82.0,80.0,78.0,85.0,79.0,404.0
194,Morales,LS,87.0,86.0,80.0,78.0,58.0,389.0
195,K. Boateng,LCM,66.0,72.0,72.0,54.0,82.0,346.0
196,Gerard Moreno,ST,80.0,78.0,77.0,79.0,61.0,375.0
197,T. Ndombele,SUB,73.0,69.0,84.0,69.0,73.0,368.0
198,M. de Roon,RCM,64.0,68.0,61.0,92.0,85.0,370.0
199,N. Fekir,CAM,88.0,79.0,82.0,79.0,79.0,407.0
200,R. Pereyra,CM,79.0,74.0,76.0,87.0,70.0,386.0
201,K. Benzema,CF,77.0,75.0,79.0,78.0,63.0,372.0
202,M. Sanson,SUB,75.0,69.0,78.0,81.0,73.0,376.0
203,18 Gabi,RCM,62.0,65.0,74.0,76.0,82.0,359.0
204,N. Stanciu,CAM,75.0,70.0,86.0,83.0,69.0,383.0
205,G. Moreno,RS,79.0,69.0,70.0,82.0,77.0,377.0
206,D. Alli,LCM,67.0,68.0,76.0,80.0,70.0,361.0
207,H. Aouar,LM,76.0,74.0,83.0,75.0,69.0,377.0
208,P. Zieliński,LCM,83.0,79.0,85.0,75.0,56.0,378.0
209,M. Antonio,ST,79.0,87.0,80.0,76.0,83.0,405.0
210,A. Davies,LB,96.0,96.0,85.0,79.0,77.0,433.0
211,Fabián,CDM,67.0,60.0,71.0,87.0,68.0,353.0
212,17 Maxwell,SUB,71.0,74.0,76.0,83.0,71.0,375.0
213,E. Pérez,RDM,70.0,66.0,76.0,73.0,87.0,372.0
214,19 Y. Rakitskyi,LCB,69.0,72.0,68.0,82.0,84.0,375.0
215,M. Locatelli,RDM,62.0,60.0,69.0,89.0,72.0,352.0
216,18 Eliseu,SUB,75.0,76.0,73.0,75.0,86.0,385.0
217,M. Arnautović,ST,78.0,80.0,70.0,77.0,77.0,382.0
218,W. Ndidi,LDM,65.0,68.0,69.0,90.0,87.0,379.0
219,Álex Berenguer,RM,86.0,81.0,85.0,74.0,72.0,398.0
220,R. Sterling,SUB,95.0,88.0,94.0,79.0,59.0,415.0
221,P. Max,LB,80.0,83.0,76.0,89.0,73.0,401.0
222,A. Guardado,LDM,67.0,62.0,79.0,81.0,74.0,363.0
223,G. Di Lorenzo,RB,85.0,83.0,78.0,89.0,74.0,409.0
224,Gabriel,SUB,64.0,55.0,65.0,77.0,81.0,342.0
225,M. Camara,RCM,74.0,77.0,75.0,88.0,82.0,396.0
226,L. Spinazzola,RES,94.0,91.0,80.0,81.0,71.0,417.0
227,21 Wendel,LCM,76.0,80.0,77.0,82.0,69.0,384.0
228,A. Claude-Maurice,SUB,88.0,86.0,90.0,70.0,65.0,399.0
229,T. Souček,RDM,61.0,66.0,66.0,92.0,76.0,361.0
230,D. Tadić,LW,67.0,70.0,76.0,88.0,56.0,357.0
231,R. Delgado,LCB,81.0,79.0,79.0,80.0,83.0,402.0
232,W. Ben Yedder,ST,83.0,81.0,91.0,75.0,62.0,392.0
233,R. Skov,SUB,76.0,79.0,76.0,77.0,74.0,382.0
234,Cucurella,SUB,78.0,80.0,78.0,88.0,76.0,400.0
235,19 F. Guarín,LDM,68.0,63.0,65.0,77.0,77.0,350.0
236,J. McGinn,RCM,73.0,67.0,77.0,90.0,79.0,386.0
237,M. Faraoni,RM,75.0,73.0,65.0,84.0,77.0,374.0
238,R. Rodríguez,LCB,69.0,72.0,71.0,74.0,74.0,360.0
239,M. Wakaso,RCM,81.0,85.0,81.0,82.0,86.0,415.0
240,Y. Bissouma,LCM,69.0,71.0,73.0,80.0,74.0,367.0
241,V. van Dijk,LCB,66.0,88.0,61.0,69.0,83.0,367.0
242,Ai Kesen,ST,87.0,81.0,83.0,81.0,69.0,401.0
243,Gedson Fernandes,SUB,80.0,79.0,82.0,80.0,80.0,401.0
244,15 Xavi,SUB,67.0,65.0,79.0,60.0,53.0,324.0
245,K. Demirbay,LDM,62.0,55.0,77.0,77.0,69.0,340.0
246,S. McTominay,SUB,62.0,69.0,66.0,84.0,88.0,369.0
247,I. Gueye,LCM,70.0,69.0,79.0,85.0,83.0,386.0
248,D. Suárez,RB,72.0,73.0,71.0,78.0,89.0,383.0
249,19 Jefferson,SUB,77.0,74.0,74.0,75.0,72.0,372.0
250,Embarba,RM,84.0,83.0,83.0,84.0,76.0,410.0
251,E. Haaland,RS,82.0,94.0,75.0,82.0,85.0,418.0
252,A. Silva,RM,87.0,88.0,84.0,91.0,75.0,425.0
253,T. Holeš,LCB,78.0,78.0,75.0,85.0,85.0,401.0
254,Gerson Armão,RM,77.0,80.0,68.0,89.0,94.0,408.0
255,A. Rebić,LM,83.0,88.0,74.0,81.0,84.0,410.0
256,L. Advíncula,RB,93.0,93.0,84.0,90.0,75.0,435.0
257,M. Cornet,SUB,85.0,87.0,82.0,91.0,72.0,417.0
258,R. Bentancur,SUB,69.0,77.0,70.0,86.0,78.0,380.0
259,M. Mount,RW,77.0,71.0,80.0,86.0,68.0,382.0
260,Melvin Parrela,CDM,62.0,78.0,67.0,87.0,84.0,378.0
261,Raphinha,RM,90.0,91.0,88.0,84.0,76.0,429.0
262,L. Torreira,CM,76.0,72.0,86.0,84.0,86.0,404.0
263,R. James,RWB,78.0,81.0,72.0,79.0,74.0,384.0
264,Ronaldo Cabrais,CAM,90.0,87.0,86.0,88.0,62.0,413.0
265,Rodri,CDM,60.0,62.0,65.0,87.0,76.0,350.0
266,D. Blind,LB,48.0,43.0,72.0,76.0,67.0,306.0
267,Gayà,LB,81.0,85.0,82.0,87.0,76.0,411.0
268,E. Salvio,SUB,87.0,84.0,85.0,75.0,68.0,399.0
269,R. Baku,RM,83.0,85.0,82.0,91.0,74.0,415.0
270,R. Tapia,CDM,70.0,68.0,66.0,84.0,79.0,367.0
271,Mário Fernandes,RB,79.0,83.0,79.0,87.0,77.0,405.0
272,Andreas Pereira,RES,77.0,75.0,80.0,77.0,78.0,387.0
273,U. Račić,LCM,60.0,70.0,62.0,79.0,68.0,339.0
274,Pedro Gonçalves,RW,77.0,76.0,83.0,85.0,64.0,385.0
275,Sergi Darder,LCM,67.0,66.0,74.0,76.0,75.0,358.0
276,F. Coquelin,SUB,68.0,68.0,74.0,75.0,88.0,373.0
277,A. Young,SUB,79.0,67.0,75.0,68.0,83.0,372.0
278,Diogo Gonçalves,RWB,83.0,86.0,81.0,78.0,78.0,406.0
279,J. Lingard,SUB,78.0,75.0,83.0,79.0,74.0,389.0
280,A. Tchouaméni,LCM,70.0,73.0,75.0,85.0,78.0,381.0
281,E. Cavani,SUB,64.0,68.0,68.0,81.0,81.0,362.0
282,R. Bazoer,CB,71.0,73.0,73.0,74.0,67.0,358.0
283,L. Dendoncker,SUB,53.0,68.0,55.0,83.0,75.0,334.0
284,21 Fernando,SUB,73.0,76.0,74.0,80.0,80.0,383.0
285,21 M. Parolo,SUB,64.0,52.0,63.0,75.0,80.0,334.0
286,N. Gudelj,SUB,58.0,61.0,60.0,84.0,83.0,346.0
287,R. Soriano,CM,68.0,70.0,80.0,82.0,71.0,371.0
288,Roberto Torres,SUB,73.0,62.0,67.0,78.0,72.0,352.0
289,R. Perraud,LB,74.0,74.0,73.0,86.0,85.0,392.0
290,L. Olaza,LWB,78.0,77.0,69.0,78.0,70.0,372.0
291,R. Jiménez,ST,63.0,80.0,75.0,82.0,81.0,381.0
292,P. Højbjerg,RCM,58.0,61.0,65.0,88.0,87.0,359.0
293,F. Bernardeschi,SUB,79.0,79.0,82.0,70.0,50.0,360.0
294,J. Rodríguez,SUB,55.0,51.0,78.0,55.0,60.0,299.0
295,M. Ødegaard,CAM,80.0,75.0,85.0,78.0,63.0,381.0
296,K. Phillips,CDM,69.0,66.0,72.0,85.0,86.0,378.0
297,D. Kulusevski,SUB,85.0,83.0,77.0,85.0,67.0,397.0
298,W. Cyprien,SUB,71.0,73.0,78.0,68.0,74.0,364.0
299,B. Matuidi,LDM,74.0,73.0,81.0,85.0,81.0,394.0
300,E. Camavinga,SUB,73.0,71.0,80.0,80.0,77.0,381.0
301,M. Oršić,LM,89.0,91.0,90.0,82.0,49.0,401.0
302,Otávio,SUB,80.0,76.0,85.0,80.0,77.0,398.0
303,J. Fleck,LCM,72.0,68.0,79.0,84.0,84.0,387.0
304,Lucas Moura,RW,93.0,88.0,93.0,75.0,78.0,427.0
305,T. Hazard,SUB,84.0,76.0,91.0,78.0,57.0,386.0
306,J. Maddison,CAM,78.0,72.0,86.0,74.0,68.0,378.0
307,Y. Carrasco,LM,89.0,88.0,87.0,80.0,65.0,409.0
308,A. Doucouré,RDM,66.0,74.0,65.0,89.0,75.0,369.0
309,21 B. Ndiaye,RCM,85.0,85.0,82.0,90.0,77.0,419.0
310,Andeson Trigo,LB,85.0,79.0,89.0,84.0,70.0,407.0
311,M. Suárez,LS,84.0,75.0,88.0,75.0,77.0,399.0
312,R. Aliendro,LDM,80.0,75.0,79.0,83.0,83.0,400.0
313,S. Aurier,SUB,76.0,75.0,70.0,78.0,86.0,385.0
314,Unai López,RDM,75.0,71.0,84.0,80.0,72.0,382.0
315,H. Ziyech,SUB,79.0,77.0,85.0,79.0,73.0,393.0
316,Luis Milla,LCM,76.0,69.0,72.0,86.0,72.0,375.0
317,Coutinho,SUB,74.0,65.0,89.0,74.0,59.0,361.0
318,V. Darida,SUB,68.0,64.0,77.0,95.0,56.0,360.0
319,R. Andrich,SUB,64.0,55.0,59.0,86.0,77.0,341.0
320,20 Y. Cabaye,RDM,61.0,60.0,70.0,61.0,82.0,334.0
321,H. Çalhanoğlu,LCM,72.0,62.0,83.0,75.0,57.0,349.0
322,21 K. Asamoah,SUB,72.0,68.0,81.0,65.0,81.0,367.0
323,E. Mwepu,SUB,78.0,85.0,75.0,90.0,78.0,406.0
324,Rubén Alcaraz,LCM,60.0,61.0,57.0,86.0,80.0,344.0
325,20 D. De Rossi,LCM,60.0,58.0,62.0,70.0,83.0,333.0
326,O. Tufan,SUB,74.0,76.0,76.0,91.0,79.0,396.0
327,K. Tierney,LB,86.0,83.0,76.0,86.0,84.0,415.0
328,V. Rongier,SUB,71.0,68.0,77.0,82.0,75.0,373.0
329,Melero,RCM,61.0,65.0,61.0,79.0,68.0,334.0
330,13 Hugo Viana,LCM,66.0,61.0,70.0,68.0,63.0,328.0
331,21 S. Lulić,LM,69.0,73.0,70.0,89.0,76.0,377.0
332,S. Tonali,SUB,74.0,82.0,74.0,76.0,80.0,386.0
333,A. Ramsey,SUB,63.0,69.0,73.0,65.0,68.0,338.0
334,O. Etebo,SUB,79.0,76.0,84.0,87.0,80.0,406.0
335,Zubeldia,SUB,60.0,74.0,70.0,83.0,86.0,373.0
336,M. Götze,CAM,69.0,67.0,76.0,75.0,59.0,346.0
337,17 Felipe Melo,RES,69.0,69.0,69.0,72.0,92.0,371.0
338,V. Moses,RM,77.0,76.0,75.0,78.0,66.0,372.0
339,J. Akpa Akpro,SUB,78.0,82.0,79.0,84.0,80.0,403.0
340,M. Depay,LW,81.0,83.0,80.0,79.0,72.0,395.0
341,N. Tagliafico,SUB,79.0,81.0,77.0,89.0,84.0,410.0
342,G. Krychowiak,CDM,67.0,69.0,59.0,78.0,80.0,353.0
343,A. Browne,SUB,73.0,76.0,76.0,92.0,84.0,401.0
344,S. Gnabry,RM,90.0,77.0,87.0,78.0,63.0,395.0
345,N. Nández,RM,76.0,77.0,82.0,93.0,87.0,415.0
346,L. Sané,LM,91.0,89.0,84.0,68.0,63.0,395.0
347,F. Angileri,LB,78.0,82.0,82.0,90.0,77.0,409.0
348,C. Roldan,RCM,72.0,72.0,77.0,92.0,78.0,391.0
349,D. Sow,RDM,76.0,81.0,75.0,85.0,79.0,396.0
350,Q. Promes,LM,87.0,88.0,85.0,81.0,65.0,406.0
351,20 Mariano,RB,81.0,79.0,73.0,88.0,76.0,397.0
352,V. Coufal,RB,76.0,77.0,74.0,87.0,86.0,400.0
353,S. Armstrong,SUB,72.0,73.0,77.0,83.0,69.0,374.0
354,Maurício,RDM,74.0,70.0,71.0,69.0,71.0,355.0
355,Everticinho,RB,84.0,73.0,77.0,88.0,73.0,395.0
356,21 A. Valencia,RB,76.0,75.0,69.0,73.0,80.0,373.0
357,21 A. Ayew,RS,73.0,73.0,86.0,82.0,78.0,392.0
358,J. Bellingham,RCM,78.0,73.0,81.0,87.0,82.0,401.0
359,V. Guzmán,CAM,76.0,75.0,81.0,78.0,66.0,376.0
360,A. Mooy,RDM,67.0,60.0,70.0,82.0,75.0,354.0
361,J. Schmid,RB,75.0,78.0,76.0,79.0,77.0,385.0
362,T. Meunier,RB,67.0,77.0,63.0,83.0,73.0,363.0
363,14 C. Seedorf,CAM,63.0,64.0,66.0,72.0,40.0,305.0
364,O. Selnæs,CM,67.0,68.0,82.0,83.0,68.0,368.0
365,J. Draxler,SUB,76.0,73.0,80.0,68.0,56.0,353.0
366,Thiago Mendes,SUB,69.0,74.0,76.0,77.0,77.0,373.0
367,M. Halstenberg,SUB,64.0,62.0,61.0,82.0,77.0,346.0
368,P. van Aanholt,LB,82.0,86.0,77.0,74.0,73.0,392.0
369,F. Gorriarán,LDM,77.0,72.0,77.0,92.0,65.0,383.0
370,S. Schwab,RCM,62.0,64.0,68.0,88.0,73.0,355.0
371,Marquinhos,RCB,81.0,81.0,69.0,83.0,81.0,395.0
372,21 S. Sessègnon,SUB,72.0,76.0,84.0,71.0,76.0,379.0
