,Name,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total,Acceleration Proportion,SprintSpeed Proportion,Agility Proportion,Stamina Proportion,Aggression Proportion
21,E. Cavani,75.0,76.0,77.0,92.0,84.0,404.0,0.18564356435643564,0.18811881188118812,0.1905940594059406,0.22772277227722773,0.2079207920792079
22,M. Neuer,54.0,60.0,51.0,43.0,29.0,237.0,0.22784810126582278,0.25316455696202533,0.21518987341772153,0.18143459915611815,0.12236286919831224
23,S. Agüero,88.0,80.0,86.0,76.0,65.0,395.0,0.22278481012658227,0.20253164556962025,0.21772151898734177,0.19240506329113924,0.16455696202531644
24,G. Chiellini,63.0,75.0,54.0,65.0,92.0,349.0,0.18051575931232092,0.2148997134670487,0.15472779369627507,0.18624641833810887,0.2636103151862464
25,K. Mbappé,96.0,96.0,92.0,83.0,62.0,429.0,0.22377622377622378,0.22377622377622378,0.21445221445221446,0.19347319347319347,0.1445221445221445
26,M. Salah,94.0,91.0,91.0,84.0,63.0,423.0,0.2222222222222222,0.21513002364066194,0.21513002364066194,0.19858156028368795,0.14893617021276595
27,Casemiro,59.0,65.0,62.0,87.0,87.0,360.0,0.1638888888888889,0.18055555555555555,0.17222222222222222,0.24166666666666667,0.24166666666666667
28,J. Rodríguez,73.0,67.0,83.0,70.0,64.0,357.0,0.20448179271708683,0.1876750700280112,0.23249299719887956,0.19607843137254902,0.1792717086834734
29,L. Insigne,94.0,86.0,94.0,75.0,34.0,383.0,0.2454308093994778,0.2245430809399478,0.2454308093994778,0.195822454308094,0.08877284595300261
30,Isco,75.0,69.0,87.0,70.0,58.0,359.0,0.20891364902506965,0.19220055710306408,0.24233983286908078,0.19498607242339833,0.1615598885793872
31,C. Eriksen,75.0,73.0,79.0,92.0,46.0,365.0,0.2054794520547945,0.2,0.21643835616438356,0.25205479452054796,0.12602739726027398
32,Coutinho,89.0,75.0,92.0,79.0,59.0,394.0,0.22588832487309646,0.19035532994923857,0.233502538071066,0.20050761421319796,0.14974619289340102
33,P. Aubameyang,93.0,95.0,76.0,76.0,43.0,383.0,0.24281984334203655,0.24804177545691905,0.19843342036553524,0.19843342036553524,0.1122715404699739
34,M. Hummels,53.0,64.0,63.0,66.0,69.0,315.0,0.16825396825396827,0.20317460317460317,0.2,0.20952380952380953,0.21904761904761905
35,Marcelo,83.0,82.0,86.0,91.0,84.0,426.0,0.19483568075117372,0.19248826291079812,0.20187793427230047,0.2136150234741784,0.19718309859154928
36,G. Bale,94.0,95.0,82.0,75.0,65.0,411.0,0.22871046228710462,0.23114355231143552,0.19951338199513383,0.18248175182481752,0.15815085158150852
37,H. Lloris,65.0,62.0,55.0,41.0,31.0,254.0,0.2559055118110236,0.2440944881889764,0.21653543307086615,0.16141732283464566,0.1220472440944882
38,G. Higuaín,73.0,73.0,75.0,70.0,50.0,341.0,0.21407624633431085,0.21407624633431085,0.21994134897360704,0.20527859237536658,0.1466275659824047
39,Thiago Silva,70.0,72.0,68.0,74.0,76.0,360.0,0.19444444444444445,0.2,0.18888888888888888,0.20555555555555555,0.2111111111111111
40,S. Handanovič,51.0,55.0,47.0,41.0,25.0,219.0,0.2328767123287671,0.2511415525114155,0.2146118721461187,0.1872146118721461,0.1141552511415525
41,G. Buffon,49.0,43.0,55.0,39.0,38.0,224.0,0.21875,0.19196428571428573,0.24553571428571427,0.17410714285714285,0.16964285714285715
42,S. Umtiti,71.0,73.0,68.0,78.0,81.0,371.0,0.19137466307277629,0.1967654986522911,0.18328840970350405,0.21024258760107817,0.2183288409703504
43,M. Icardi,77.0,78.0,76.0,72.0,56.0,359.0,0.21448467966573817,0.21727019498607242,0.2116991643454039,0.20055710306406685,0.15598885793871867
44,K. Koulibaly,68.0,75.0,50.0,71.0,87.0,351.0,0.19373219373219372,0.21367521367521367,0.14245014245014245,0.2022792022792023,0.24786324786324787
45,P. Pogba,71.0,79.0,74.0,88.0,78.0,390.0,0.18205128205128204,0.20256410256410257,0.18974358974358974,0.22564102564102564,0.2
46,K. Navas,54.0,53.0,60.0,39.0,32.0,238.0,0.226890756302521,0.22268907563025211,0.25210084033613445,0.1638655462184874,0.13445378151260504
47,R. Lukaku,77.0,90.0,60.0,84.0,75.0,386.0,0.19948186528497408,0.23316062176165803,0.15544041450777202,0.21761658031088082,0.19430051813471502
48,C. Immobile,78.0,85.0,77.0,80.0,77.0,397.0,0.1964735516372796,0.2141057934508816,0.19395465994962216,0.20151133501259447,0.19395465994962216
49,Jordi Alba,93.0,93.0,90.0,91.0,75.0,442.0,0.21040723981900453,0.21040723981900453,0.20361990950226244,0.20588235294117646,0.16968325791855204
50,D. Mertens,93.0,85.0,94.0,75.0,59.0,406.0,0.229064039408867,0.20935960591133004,0.2315270935960591,0.18472906403940886,0.14532019704433496
51,J. Vertonghen,61.0,65.0,61.0,75.0,84.0,346.0,0.17630057803468208,0.18786127167630057,0.17630057803468208,0.21676300578034682,0.24277456647398843
52,M. Hamšík,69.0,68.0,76.0,84.0,56.0,353.0,0.1954674220963173,0.19263456090651557,0.21529745042492918,0.23796033994334279,0.15864022662889518
53,I. Rakitić,66.0,59.0,72.0,84.0,67.0,348.0,0.1896551724137931,0.16954022988505746,0.20689655172413793,0.2413793103448276,0.1925287356321839
54,Piqué,49.0,60.0,58.0,65.0,72.0,304.0,0.1611842105263158,0.19736842105263158,0.19078947368421054,0.2138157894736842,0.23684210526315788
55,L. Sané,93.0,96.0,88.0,79.0,61.0,417.0,0.22302158273381295,0.2302158273381295,0.21103117505995203,0.18944844124700239,0.14628297362110312
56,Bernardo Silva,84.0,74.0,90.0,78.0,58.0,384.0,0.21875,0.19270833333333334,0.234375,0.203125,0.15104166666666666
57,Ederson,64.0,63.0,60.0,41.0,35.0,263.0,0.24334600760456274,0.23954372623574144,0.22813688212927757,0.155893536121673,0.13307984790874525
58,S. Mané,95.0,93.0,91.0,84.0,73.0,436.0,0.21788990825688073,0.21330275229357798,0.20871559633027523,0.1926605504587156,0.16743119266055045
59,V. van Dijk,74.0,77.0,61.0,71.0,81.0,364.0,0.2032967032967033,0.21153846153846154,0.16758241758241757,0.19505494505494506,0.22252747252747251
60,R. Sterling,95.0,92.0,93.0,78.0,38.0,396.0,0.2398989898989899,0.23232323232323232,0.23484848484848486,0.19696969696969696,0.09595959595959595
61,Roberto Firmino,78.0,77.0,80.0,90.0,73.0,398.0,0.19597989949748743,0.1934673366834171,0.20100502512562815,0.22613065326633167,0.18341708542713567
62,R. Varane,83.0,85.0,63.0,73.0,77.0,381.0,0.2178477690288714,0.2230971128608924,0.16535433070866143,0.19160104986876642,0.2020997375328084
63,M. Verratti,69.0,62.0,87.0,77.0,89.0,384.0,0.1796875,0.16145833333333334,0.2265625,0.20052083333333334,0.23177083333333334
64,Alex Sandro,83.0,86.0,79.0,92.0,82.0,422.0,0.1966824644549763,0.2037914691943128,0.1872037914691943,0.21800947867298578,0.1943127962085308
65,Douglas Costa,97.0,93.0,93.0,78.0,55.0,416.0,0.23317307692307693,0.22355769230769232,0.22355769230769232,0.1875,0.13221153846153846
66,T. Müller,73.0,75.0,75.0,87.0,57.0,367.0,0.1989100817438692,0.20435967302452315,0.20435967302452315,0.23705722070844687,0.1553133514986376
67,Thiago,78.0,69.0,90.0,75.0,57.0,369.0,0.21138211382113822,0.18699186991869918,0.24390243902439024,0.2032520325203252,0.15447154471544716
68,M. Reus,86.0,85.0,86.0,73.0,49.0,379.0,0.22691292875989447,0.22427440633245382,0.22691292875989447,0.19261213720316622,0.12928759894459102
69,Azpilicueta,76.0,76.0,72.0,87.0,82.0,393.0,0.19338422391857507,0.19338422391857507,0.183206106870229,0.22137404580152673,0.20865139949109415
70,L. Bonucci,57.0,65.0,60.0,71.0,82.0,335.0,0.1701492537313433,0.19402985074626866,0.1791044776119403,0.21194029850746268,0.24477611940298508
71,T. Alderweireld,61.0,66.0,60.0,74.0,80.0,341.0,0.17888563049853373,0.1935483870967742,0.17595307917888564,0.21700879765395895,0.23460410557184752
72,M. Pjanić,66.0,66.0,77.0,78.0,70.0,357.0,0.18487394957983194,0.18487394957983194,0.21568627450980393,0.2184873949579832,0.19607843137254902
73,M. Benatia,65.0,75.0,59.0,69.0,86.0,354.0,0.18361581920903955,0.211864406779661,0.16666666666666666,0.19491525423728814,0.24293785310734464
74,M. Özil,72.0,69.0,79.0,69.0,48.0,337.0,0.21364985163204747,0.20474777448071216,0.2344213649851632,0.20474777448071216,0.142433234421365
75,Fernandinho,68.0,67.0,72.0,79.0,87.0,373.0,0.18230563002680966,0.17962466487935658,0.19302949061662197,0.21179624664879357,0.23324396782841822
76,Iniesta,70.0,67.0,79.0,55.0,58.0,329.0,0.2127659574468085,0.20364741641337386,0.24012158054711247,0.16717325227963525,0.1762917933130699
77,M. Škriniar,70.0,73.0,48.0,77.0,86.0,354.0,0.1977401129943503,0.2062146892655367,0.13559322033898305,0.2175141242937853,0.24293785310734464
78,S. Milinković-Savić,68.0,70.0,66.0,85.0,73.0,362.0,0.1878453038674033,0.19337016574585636,0.18232044198895028,0.23480662983425415,0.20165745856353592
79,Marco Asensio,85.0,82.0,79.0,76.0,45.0,367.0,0.23160762942779292,0.22343324250681199,0.21525885558583105,0.20708446866485014,0.1226158038147139
80,N. Fekir,79.0,79.0,90.0,80.0,73.0,401.0,0.1970074812967581,0.1970074812967581,0.22443890274314215,0.19950124688279303,0.18204488778054864
81,Alisson,54.0,45.0,40.0,32.0,27.0,198.0,0.2727272727272727,0.22727272727272727,0.20202020202020202,0.16161616161616163,0.13636363636363635
82,J. Kimmich,78.0,68.0,84.0,85.0,74.0,389.0,0.20051413881748073,0.17480719794344474,0.2159383033419023,0.2185089974293059,0.19023136246786632
83,Saúl,74.0,73.0,76.0,86.0,69.0,378.0,0.19576719576719576,0.1931216931216931,0.20105820105820105,0.2275132275132275,0.18253968253968253
84,R. Mahrez,88.0,83.0,93.0,76.0,48.0,388.0,0.2268041237113402,0.21391752577319587,0.23969072164948454,0.1958762886597938,0.12371134020618557
85,D. Alaba,79.0,86.0,79.0,87.0,69.0,400.0,0.1975,0.215,0.1975,0.2175,0.1725
86,Koke,71.0,68.0,74.0,90.0,71.0,374.0,0.18983957219251338,0.18181818181818182,0.19786096256684493,0.24064171122994651,0.18983957219251338
87,A. Lacazette,81.0,84.0,85.0,79.0,70.0,399.0,0.20300751879699247,0.21052631578947367,0.21303258145363407,0.19799498746867167,0.17543859649122806
88,K. Manolas,80.0,85.0,68.0,76.0,86.0,395.0,0.20253164556962025,0.21518987341772153,0.17215189873417722,0.19240506329113924,0.21772151898734177
89,N. Otamendi,57.0,61.0,64.0,67.0,91.0,340.0,0.1676470588235294,0.17941176470588235,0.18823529411764706,0.19705882352941176,0.2676470588235294
90,Parejo,51.0,43.0,66.0,78.0,58.0,296.0,0.17229729729729729,0.14527027027027026,0.22297297297297297,0.2635135135135135,0.19594594594594594
91,Paulinho,73.0,73.0,69.0,92.0,81.0,388.0,0.18814432989690721,0.18814432989690721,0.17783505154639176,0.23711340206185566,0.20876288659793815
92,W. Szczęsny,51.0,47.0,55.0,45.0,40.0,238.0,0.21428571428571427,0.19747899159663865,0.23109243697478993,0.18907563025210083,0.16806722689075632
93,A. Sánchez,86.0,79.0,90.0,83.0,79.0,417.0,0.20623501199040767,0.18944844124700239,0.2158273381294964,0.19904076738609114,0.18944844124700239
94,Y. Brahimi,87.0,75.0,92.0,85.0,46.0,385.0,0.22597402597402597,0.19480519480519481,0.23896103896103896,0.22077922077922077,0.11948051948051948
95,J. Boateng,67.0,72.0,56.0,69.0,81.0,345.0,0.19420289855072465,0.20869565217391303,0.16231884057971013,0.2,0.23478260869565218
96,A. Vidal,60.0,55.0,74.0,83.0,93.0,365.0,0.1643835616438356,0.1506849315068493,0.20273972602739726,0.2273972602739726,0.2547945205479452
97,I. Perišić,84.0,88.0,78.0,89.0,65.0,404.0,0.2079207920792079,0.21782178217821782,0.19306930693069307,0.2202970297029703,0.1608910891089109
98,E. Džeko,65.0,66.0,57.0,76.0,51.0,315.0,0.20634920634920634,0.20952380952380953,0.18095238095238095,0.24126984126984127,0.1619047619047619
99,S. Khedira,54.0,60.0,55.0,78.0,82.0,329.0,0.1641337386018237,0.182370820668693,0.16717325227963525,0.23708206686930092,0.24924012158054712
100,Diego Costa,74.0,76.0,58.0,76.0,93.0,377.0,0.1962864721485411,0.20159151193633953,0.15384615384615385,0.20159151193633953,0.246684350132626
101,R. Nainggolan,78.0,73.0,76.0,93.0,88.0,408.0,0.19117647058823528,0.17892156862745098,0.18627450980392157,0.22794117647058823,0.21568627450980393
102,Naldo,60.0,65.0,46.0,61.0,72.0,304.0,0.19736842105263158,0.2138157894736842,0.1513157894736842,0.20065789473684212,0.23684210526315788
103,B. Matuidi,79.0,77.0,83.0,94.0,86.0,419.0,0.18854415274463007,0.18377088305489261,0.19809069212410502,0.2243436754176611,0.2052505966587112
104,Miranda,66.0,69.0,61.0,65.0,83.0,344.0,0.19186046511627908,0.2005813953488372,0.17732558139534885,0.18895348837209303,0.24127906976744187
105,K. Benzema,76.0,76.0,76.0,75.0,65.0,368.0,0.20652173913043478,0.20652173913043478,0.20652173913043478,0.20380434782608695,0.1766304347826087
106,Filipe Luís,76.0,75.0,75.0,89.0,81.0,396.0,0.1919191919191919,0.1893939393939394,0.1893939393939394,0.22474747474747475,0.20454545454545456
107,V. Kompany,52.0,59.0,57.0,66.0,87.0,321.0,0.16199376947040497,0.1838006230529595,0.17757009345794392,0.205607476635514,0.27102803738317754
108,Pepe,65.0,70.0,63.0,60.0,94.0,352.0,0.1846590909090909,0.19886363636363635,0.17897727272727273,0.17045454545454544,0.26704545454545453
109,Z. Ibrahimović,58.0,59.0,75.0,61.0,84.0,337.0,0.17210682492581603,0.17507418397626112,0.22255192878338279,0.18100890207715134,0.24925816023738873
110,D. Sánchez,72.0,79.0,60.0,76.0,87.0,374.0,0.1925133689839572,0.21122994652406418,0.16042780748663102,0.20320855614973263,0.232620320855615
111,J. Giménez,69.0,70.0,56.0,67.0,89.0,351.0,0.19658119658119658,0.19943019943019943,0.15954415954415954,0.1908831908831909,0.2535612535612536
112,Alex Telles,84.0,85.0,73.0,92.0,78.0,412.0,0.20388349514563106,0.20631067961165048,0.17718446601941748,0.22330097087378642,0.18932038834951456
113,A. Laporte,62.0,66.0,45.0,67.0,75.0,315.0,0.19682539682539682,0.20952380952380953,0.14285714285714285,0.2126984126984127,0.23809523809523808
114,Bruno Fernandes,79.0,76.0,77.0,89.0,65.0,386.0,0.20466321243523317,0.19689119170984457,0.19948186528497408,0.23056994818652848,0.16839378238341968
115,N. Süle,52.0,84.0,33.0,65.0,82.0,316.0,0.16455696202531644,0.26582278481012656,0.10443037974683544,0.20569620253164558,0.25949367088607594
116,A. Martial,88.0,89.0,85.0,75.0,58.0,395.0,0.22278481012658227,0.22531645569620254,0.21518987341772153,0.189873417721519,0.1468354430379747
117,D. Alli,73.0,76.0,76.0,90.0,84.0,399.0,0.18295739348370926,0.19047619047619047,0.19047619047619047,0.22556390977443608,0.21052631578947367
118,Fabinho,69.0,72.0,69.0,92.0,85.0,387.0,0.17829457364341086,0.18604651162790697,0.17829457364341086,0.23772609819121446,0.21963824289405684
119,Marquinhos,73.0,76.0,69.0,75.0,80.0,373.0,0.19571045576407506,0.2037533512064343,0.18498659517426275,0.20107238605898123,0.21447721179624665
120,William Carvalho,49.0,53.0,51.0,84.0,75.0,312.0,0.15705128205128205,0.16987179487179488,0.16346153846153846,0.2692307692307692,0.2403846153846154
121,Jorginho,75.0,69.0,80.0,79.0,79.0,382.0,0.19633507853403143,0.1806282722513089,0.2094240837696335,0.20680628272251309,0.20680628272251309
122,F. Thauvin,87.0,80.0,86.0,83.0,56.0,392.0,0.22193877551020408,0.20408163265306123,0.2193877551020408,0.21173469387755103,0.14285714285714285
123,Carvajal,79.0,84.0,81.0,84.0,81.0,409.0,0.19315403422982885,0.20537897310513448,0.1980440097799511,0.20537897310513448,0.1980440097799511
124,M. Depay,87.0,87.0,82.0,79.0,76.0,411.0,0.2116788321167883,0.2116788321167883,0.19951338199513383,0.1922141119221411,0.18491484184914841
125,H. Son,88.0,87.0,82.0,85.0,60.0,402.0,0.21890547263681592,0.21641791044776118,0.20398009950248755,0.21144278606965175,0.14925373134328357
126,A. Lopes,63.0,64.0,67.0,36.0,43.0,273.0,0.23076923076923078,0.23443223443223443,0.2454212454212454,0.13186813186813187,0.1575091575091575
127,S. de Vrij,67.0,69.0,61.0,66.0,78.0,341.0,0.19648093841642228,0.20234604105571846,0.17888563049853373,0.1935483870967742,0.2287390029325513
128,M. Perin,57.0,56.0,70.0,30.0,25.0,238.0,0.23949579831932774,0.23529411764705882,0.29411764705882354,0.12605042016806722,0.10504201680672269
129,J. Cuadrado,89.0,93.0,91.0,78.0,78.0,429.0,0.20745920745920746,0.21678321678321677,0.21212121212121213,0.18181818181818182,0.18181818181818182
130,Iago Aspas,85.0,78.0,87.0,75.0,63.0,388.0,0.2190721649484536,0.20103092783505155,0.22422680412371135,0.19329896907216496,0.16237113402061856
131,B. Leno,46.0,52.0,52.0,43.0,28.0,221.0,0.2081447963800905,0.23529411764705882,0.23529411764705882,0.19457013574660634,0.12669683257918551
132,N. Matić,52.0,59.0,44.0,84.0,80.0,319.0,0.16300940438871472,0.18495297805642633,0.13793103448275862,0.26332288401253917,0.2507836990595611
133,L. Hrádecký,38.0,44.0,43.0,34.0,31.0,190.0,0.2,0.23157894736842105,0.22631578947368422,0.17894736842105263,0.1631578947368421
134,Illarramendi,66.0,57.0,71.0,77.0,76.0,347.0,0.19020172910662825,0.1642651296829971,0.20461095100864554,0.2219020172910663,0.21902017291066284
135,K. Walker,86.0,93.0,67.0,89.0,78.0,413.0,0.20823244552058112,0.22518159806295399,0.162227602905569,0.21549636803874092,0.18886198547215496
136,I. Gündoğan,67.0,68.0,78.0,69.0,70.0,352.0,0.1903409090909091,0.19318181818181818,0.2215909090909091,0.19602272727272727,0.19886363636363635
137,José Callejón,88.0,89.0,85.0,91.0,54.0,407.0,0.21621621621621623,0.21867321867321868,0.20884520884520885,0.22358722358722358,0.13267813267813267
138,A. Di María,85.0,84.0,92.0,73.0,73.0,407.0,0.20884520884520885,0.20638820638820637,0.22604422604422605,0.17936117936117937,0.17936117936117937
139,M. Mandžukić,67.0,73.0,67.0,83.0,88.0,378.0,0.17724867724867724,0.1931216931216931,0.17724867724867724,0.21957671957671956,0.2328042328042328
140,Willian,91.0,86.0,89.0,85.0,44.0,395.0,0.23037974683544304,0.21772151898734177,0.22531645569620254,0.21518987341772153,0.11139240506329114
141,Sergio Asenjo,59.0,54.0,62.0,41.0,20.0,236.0,0.25,0.2288135593220339,0.2627118644067797,0.17372881355932204,0.0847457627118644
142,E. Banega,68.0,64.0,79.0,74.0,73.0,358.0,0.18994413407821228,0.1787709497206704,0.2206703910614525,0.20670391061452514,0.20391061452513967
143,A. Witsel,67.0,74.0,78.0,86.0,82.0,387.0,0.1731266149870801,0.19121447028423771,0.20155038759689922,0.2222222222222222,0.21188630490956073
144,D. Payet,75.0,72.0,79.0,73.0,57.0,356.0,0.21067415730337077,0.20224719101123595,0.22191011235955055,0.2050561797752809,0.1601123595505618
145,Jonas,65.0,64.0,77.0,66.0,61.0,333.0,0.19519519519519518,0.1921921921921922,0.23123123123123124,0.1981981981981982,0.1831831831831832
146,Sokratis,64.0,73.0,60.0,69.0,88.0,354.0,0.1807909604519774,0.2062146892655367,0.1694915254237288,0.19491525423728814,0.24858757062146894
147,S. Ruffier,45.0,50.0,51.0,37.0,31.0,214.0,0.2102803738317757,0.2336448598130841,0.2383177570093458,0.17289719626168223,0.14485981308411214
148,Falcao,69.0,66.0,76.0,68.0,75.0,354.0,0.19491525423728814,0.1864406779661017,0.21468926553672316,0.192090395480226,0.211864406779661
149,K. Schmeichel,59.0,60.0,62.0,34.0,35.0,250.0,0.236,0.24,0.248,0.136,0.14
150,Raúl Albiol,54.0,53.0,53.0,55.0,81.0,296.0,0.18243243243243243,0.17905405405405406,0.17905405405405406,0.1858108108108108,0.27364864864864863
151,A. Gómez,94.0,86.0,92.0,75.0,56.0,403.0,0.23325062034739455,0.21339950372208435,0.228287841191067,0.18610421836228289,0.13895781637717122
152,A. Barzagli,61.0,77.0,52.0,53.0,66.0,309.0,0.19741100323624594,0.24919093851132687,0.16828478964401294,0.1715210355987055,0.21359223300970873
153,Quaresma,84.0,82.0,91.0,65.0,74.0,396.0,0.21212121212121213,0.20707070707070707,0.2297979797979798,0.16414141414141414,0.18686868686868688
154,A. Robben,83.0,76.0,87.0,64.0,47.0,357.0,0.23249299719887956,0.21288515406162464,0.24369747899159663,0.1792717086834734,0.13165266106442577
155,O. Dembélé,93.0,92.0,90.0,73.0,54.0,402.0,0.23134328358208955,0.22885572139303484,0.22388059701492538,0.18159203980099503,0.13432835820895522
156,Gabriel Jesus,87.0,85.0,92.0,84.0,73.0,421.0,0.20665083135391923,0.20190023752969122,0.21852731591448932,0.1995249406175772,0.17339667458432304
157,Ronaldo Cabrais,88.0,87.0,85.0,86.0,62.0,408.0,0.21568627450980393,0.21323529411764705,0.20833333333333334,0.2107843137254902,0.15196078431372548
158,Josué Chiamulera,83.0,78.0,77.0,76.0,88.0,402.0,0.2064676616915423,0.19402985074626866,0.19154228855721392,0.1890547263681592,0.21890547263681592
159,Louri Beretta,79.0,83.0,55.0,56.0,65.0,338.0,0.23372781065088757,0.2455621301775148,0.16272189349112426,0.16568047337278108,0.19230769230769232
160,P. Kimpembe,75.0,78.0,74.0,80.0,85.0,392.0,0.1913265306122449,0.1989795918367347,0.18877551020408162,0.20408163265306123,0.21683673469387754
161,N. Keïta,78.0,60.0,89.0,82.0,78.0,387.0,0.20155038759689922,0.15503875968992248,0.22997416020671835,0.21188630490956073,0.20155038759689922
162,C. Tolisso,75.0,66.0,75.0,87.0,81.0,384.0,0.1953125,0.171875,0.1953125,0.2265625,0.2109375
163,T. Lemar,86.0,84.0,87.0,79.0,63.0,399.0,0.21553884711779447,0.21052631578947367,0.21804511278195488,0.19799498746867167,0.15789473684210525
164,K. Coman,95.0,93.0,87.0,76.0,36.0,387.0,0.2454780361757106,0.24031007751937986,0.2248062015503876,0.19638242894056848,0.09302325581395349
165,J. Tah,64.0,77.0,48.0,63.0,76.0,328.0,0.1951219512195122,0.2347560975609756,0.14634146341463414,0.19207317073170732,0.23170731707317074
166,Anderson Talisca,77.0,76.0,76.0,76.0,67.0,372.0,0.20698924731182797,0.20430107526881722,0.20430107526881722,0.20430107526881722,0.18010752688172044
167,T. Werner,93.0,93.0,81.0,83.0,63.0,413.0,0.22518159806295399,0.22518159806295399,0.19612590799031476,0.2009685230024213,0.15254237288135594
168,A. Rabiot,73.0,74.0,79.0,82.0,76.0,384.0,0.19010416666666666,0.19270833333333334,0.20572916666666666,0.21354166666666666,0.19791666666666666
169,L. Goretzka,84.0,79.0,76.0,86.0,80.0,405.0,0.2074074074074074,0.19506172839506172,0.18765432098765433,0.2123456790123457,0.19753086419753085
170,Q. Promes,90.0,91.0,87.0,83.0,60.0,411.0,0.21897810218978103,0.22141119221411193,0.2116788321167883,0.20194647201946472,0.145985401459854
171,H. Ziyech,76.0,74.0,85.0,86.0,71.0,392.0,0.19387755102040816,0.18877551020408162,0.21683673469387754,0.2193877551020408,0.18112244897959184
172,Lucas Vázquez,84.0,79.0,79.0,90.0,65.0,397.0,0.21158690176322417,0.19899244332493704,0.19899244332493704,0.22670025188916876,0.163727959697733
173,Y. Carrasco,89.0,87.0,88.0,74.0,61.0,399.0,0.22305764411027568,0.21804511278195488,0.22055137844611528,0.18546365914786966,0.15288220551378445
174,Gerard Moreno,77.0,80.0,70.0,72.0,55.0,354.0,0.2175141242937853,0.22598870056497175,0.1977401129943503,0.2033898305084746,0.1553672316384181
175,Felipe,60.0,67.0,52.0,78.0,92.0,349.0,0.17191977077363896,0.19197707736389685,0.1489971346704871,0.22349570200573066,0.2636103151862464
176,M. Kovačić,84.0,74.0,81.0,82.0,77.0,398.0,0.21105527638190955,0.18592964824120603,0.20351758793969849,0.20603015075376885,0.1934673366834171
177,Kepa,34.0,33.0,41.0,37.0,18.0,163.0,0.2085889570552147,0.20245398773006135,0.25153374233128833,0.22699386503067484,0.11042944785276074
