,Unnamed: 0,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
251,251,Robert Sánchez Brighton,24, GK,,37,3330,-,-,-,0.1,-,0.1,-,-,-,6.63
252,252,Nemanja Matic Man Utd,34, DMC,,16(7),1384,-,4,0.3,0.6,0.7,0.1,-,0.9,0.8,6.63
253,253,Emiliano Martínez Aston Villa,29, GK,,36,3240,-,-,-,-,-,0.2,-,-,-,6.63
254,254,Illan Meslier Leeds,22, GK,,38,3385,-,-,-,-,0.1,0.2,-,-,0.1,6.63
255,255,Ademola Lookman Leicester,24, AM(CLR),FW,16(10),1459,6,-,1,0.9,1.5,1.3,0.2,2,2.3,6.63
256,256,Alex McCarthy Southampton,32, GK,,17,1530,-,-,-,0.1,-,0.1,-,-,-,6.63
257,257,Wout Weghorst Burnley,30, FW,,17(3),1457,2,3,1.5,0.7,0.7,0.9,0.5,1.5,2,6.62
258,258,Mohamed Elyounoussi Southampton,28, AM(CLR),FW,23(7),2046,4,2,1.4,0.9,0.9,0.6,-,1.3,2.1,6.62
259,259,Yerry Mina Everton,27, D(C),,11(2),847,-,-,0.5,0.1,-,0.7,0.1,0.1,0.2,6.61
260,260,Fabian Delph Everton,32, D(L),M(CL),8(3),666,-,-,0.2,0.4,0.5,0.5,-,-,0.7,6.61
261,261,Séamus Coleman Everton,33, D(CR),M(R),30,2658,1,-,0.3,0.4,1.1,0.6,0.1,0.7,1,6.61
262,262,Connor Roberts Burnley,26, D(LR),M(R),19(2),1693,1,1,0.3,0.6,0.3,1.4,-,0.3,0.5,6.61
263,263,Dimitris Giannoulis Norwich,26, D(L),M(L),14(4),1169,-,1,0.1,0.5,1.6,1.2,-,0.6,1.3,6.61
264,264,Jordan Pickford Everton,28, GK,,35,3150,-,-,-,0.1,-,0.2,-,-,-,6.6
265,265,Eddie Nketiah Arsenal,23, FW,,8(13),825,5,1,1.4,0.6,0.7,0.7,0.2,0.5,1.2,6.6
266,266,James Milner Liverpool,36, D(LR),M(CLR),9(15),851,-,1,0.4,0.9,0.1,0.6,-,0.2,0.5,6.6
267,267,Divock Origi Liverpool,27, AM(LR),FW,0(7),127,3,-,1.4,-,0.1,0.1,-,0.4,1.1,6.6
268,268,Benjamin Mendy Man City,28, D(L),DMC,1,79,-,-,-,2,2,-,-,-,1,6.6
269,269,Diego Llorente Leeds,29, D(C),DMC,28,2344,3,-,0.4,0.1,0.3,0.8,-,0.1,0.7,6.6
270,270,Nathan Redmond Southampton,28, AM(CLR),FW,20(7),1834,1,5,1,1.3,0.8,0.6,0.1,0.6,1,6.6
271,271,Armando Broja Southampton,20, FW,,21(11),1981,6,-,1.4,0.3,1.0,0.8,0.4,1.6,2.1,6.59
272,272,Matthew Lowton Burnley,33, D(LR),M(R),20(5),1772,1,2,0.4,0.7,0.4,0.2,-,0.2,0.5,6.59
273,273,Solly March Brighton,28, M(CLR),,17(14),1739,-,2,0.6,1.1,0.7,0.6,0.4,0.9,0.8,6.59
274,274,Emil Krafth Newcastle,28, D(CR),,18(2),1638,-,1,0.3,0.3,0.1,0.6,-,0.2,0.5,6.59
275,275,Joe Willock Newcastle,23, M(C),,24(5),2047,2,-,1.2,0.6,1.2,0.9,-,0.7,1.9,6.58
276,276,Ismaïla Sarr Watford,24, AM(CLR),FW,21(1),1865,5,2,1.8,1,1.5,2.1,0.5,1.8,3.2,6.58
277,277,Alexander Iwobi Everton,26, M(CLR),,22(6),2037,2,2,0.9,1.3,1.1,0.2,0.1,1,1.6,6.58
278,278,Daniel Bachmann Watford,28, GK,,12,1080,-,-,-,-,0.1,0.1,-,-,-,6.58
279,279,Kortney Hause Aston Villa,27, D(CL),,4(3),397,1,-,0.3,-,0.4,0.3,0.1,0.1,0.6,6.58
280,280,Trincão Wolves,22, AM(CR),,16(12),1340,2,1,1.1,0.5,1.6,0.8,-,0.6,1.6,6.58
281,281,Callum Wilson Newcastle,30, FW,,16(2),1395,8,-,1.9,0.6,0.6,1.2,0.9,1.5,3.3,6.57
282,282,Hamza Choudhury Leicester,24, DMC,,4(2),287,-,-,0.2,-,0.3,0.8,-,0.3,1.3,6.57
283,283,Jonjo Shelvey Newcastle,30, M(C),,22(2),1986,2,1,1.3,0.7,0.4,0.3,-,0.2,0.8,6.57
284,284,Oliver Skipp Tottenham,21, DMC,,14(4),1349,-,-,0.2,0.4,0.2,0.9,0.1,0.6,0.8,6.57
285,285,Rodrigo Leeds,31, M(CLR),FW,27(4),2275,6,1,1.5,1.2,0.7,1.0,0.1,0.9,2.4,6.57
286,286,Nathaniel Clyne Crystal Palace,31, D(LR),M(R),15(1),1351,-,1,0.2,0.4,0.3,0.3,-,0.3,0.6,6.57
287,287,Yan Valery Southampton,23, D(CR),M(R),3(2),369,-,-,0.4,0.2,0.2,0.6,-,0.4,0.2,6.57
288,288,Kalvin Phillips Leeds,26, D(C),DMC,18(2),1596,-,1,0.8,0.5,0.4,1.0,-,0.8,1.6,6.57
289,289,Harvey Elliott Liverpool,19, AM(CR),,4(2),346,-,-,1.7,1.5,0.3,1.0,-,-,1.3,6.57
290,290,Angus Gunn Norwich,26, GK,,9,810,-,-,-,-,-,-,-,-,-,6.56
291,291,Vladimír Coufal West Ham,30, D(R),M(R),25(3),2211,-,4,0.4,0.8,0.5,0.5,0.1,0.5,1.1,6.56
292,292,Joe Gomez Liverpool,25, D(CLR),,4(4),331,-,1,0.1,0.4,0.5,0.3,-,0.3,0.6,6.56
293,293,Alphonse Areola West Ham,29, GK,,1,90,-,-,-,-,-,-,-,-,-,6.56
294,294,Anthony Elanga Man Utd,20, AM(LR),,14(7),1217,2,2,1,0.4,0.5,1,0.1,0.7,1.8,6.56
295,295,Mathias Normann Norwich,26, M(C),,20(3),1653,1,2,1.1,0.6,0.7,1.2,-,0.7,1.2,6.56
296,296,Alex Oxlade Chamberlain Liverpool,29, M(CLR),,9(8),787,2,1,1.2,0.6,0.7,0.2,0.1,0.6,0.9,6.55
297,297,Imrân Louza Watford,23, M(CLR),,17(3),1423,-,-,0.9,0.8,0.7,0.7,-,0.5,1,6.55
298,298,Charlie Goode Brentford,27, D(C),,4(2),448,-,-,0.3,1.2,0.8,1.2,-,0.2,0.5,6.55
299,299,Brandon Williams Norwich,21, D(L),M(L),23(3),2123,-,1,0.2,0.8,0.8,1.7,-,0.7,1.5,6.54
