,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
258,6.62,Mohamed Elyounoussi Southampton,28, AM(CLR),23(7),2046,4,2,1.4,0.9,0.9,0.6,-,1.3,2.1
259,6.61,Yerry Mina Everton,27, D(C),11(2),847,-,-,0.5,0.1,-,0.7,0.1,0.1,0.2
260,6.61,Fabian Delph Everton,32, D(L),8(3),666,-,-,0.2,0.4,0.5,0.5,-,-,0.7
261,6.61,Séamus Coleman Everton,33, D(CR),30,2658,1,-,0.3,0.4,1.1,0.6,0.1,0.7,1
262,6.61,Connor Roberts Burnley,26, D(LR),19(2),1693,1,1,0.3,0.6,0.3,1.4,-,0.3,0.5
263,6.61,Dimitris Giannoulis Norwich,26, D(L),14(4),1169,-,1,0.1,0.5,1.6,1.2,-,0.6,1.3
264,6.6,Jordan Pickford Everton,28, GK,35,3150,-,-,-,0.1,-,0.2,-,-,-
265,6.6,Eddie Nketiah Arsenal,23, FW,8(13),825,5,1,1.4,0.6,0.7,0.7,0.2,0.5,1.2
266,6.6,James Milner Liverpool,36, D(LR),9(15),851,-,1,0.4,0.9,0.1,0.6,-,0.2,0.5
267,6.6,Divock Origi Liverpool,27, AM(LR),0(7),127,3,-,1.4,-,0.1,0.1,-,0.4,1.1
268,6.6,Benjamin Mendy Man City,28, D(L),1,79,-,-,-,2,2,-,-,-,1
269,6.6,Diego Llorente Leeds,29, D(C),28,2344,3,-,0.4,0.1,0.3,0.8,-,0.1,0.7
270,6.6,Nathan Redmond Southampton,28, AM(CLR),20(7),1834,1,5,1,1.3,0.8,0.6,0.1,0.6,1
271,6.59,Armando Broja Southampton,20, FW,21(11),1981,6,-,1.4,0.3,1.0,0.8,0.4,1.6,2.1
272,6.59,Matthew Lowton Burnley,33, D(LR),20(5),1772,1,2,0.4,0.7,0.4,0.2,-,0.2,0.5
273,6.59,Solly March Brighton,28, M(CLR),17(14),1739,-,2,0.6,1.1,0.7,0.6,0.4,0.9,0.8
274,6.59,Emil Krafth Newcastle,28, D(CR),18(2),1638,-,1,0.3,0.3,0.1,0.6,-,0.2,0.5
275,6.58,Joe Willock Newcastle,23, M(C),24(5),2047,2,-,1.2,0.6,1.2,0.9,-,0.7,1.9
276,6.58,Ismaïla Sarr Watford,24, AM(CLR),21(1),1865,5,2,1.8,1,1.5,2.1,0.5,1.8,3.2
277,6.58,Alexander Iwobi Everton,26, M(CLR),22(6),2037,2,2,0.9,1.3,1.1,0.2,0.1,1,1.6
278,6.58,Daniel Bachmann Watford,28, GK,12,1080,-,-,-,-,0.1,0.1,-,-,-
279,6.58,Kortney Hause Aston Villa,27, D(CL),4(3),397,1,-,0.3,-,0.4,0.3,0.1,0.1,0.6
280,6.58,Trincão Wolves,22, AM(CR),16(12),1340,2,1,1.1,0.5,1.6,0.8,-,0.6,1.6
281,6.57,Callum Wilson Newcastle,30, FW,16(2),1395,8,-,1.9,0.6,0.6,1.2,0.9,1.5,3.3
282,6.57,Hamza Choudhury Leicester,24, DMC,4(2),287,-,-,0.2,-,0.3,0.8,-,0.3,1.3
283,6.57,Jonjo Shelvey Newcastle,30, M(C),22(2),1986,2,1,1.3,0.7,0.4,0.3,-,0.2,0.8
284,6.57,Oliver Skipp Tottenham,21, DMC,14(4),1349,-,-,0.2,0.4,0.2,0.9,0.1,0.6,0.8
285,6.57,Rodrigo Leeds,31, M(CLR),27(4),2275,6,1,1.5,1.2,0.7,1.0,0.1,0.9,2.4
286,6.57,Nathaniel Clyne Crystal Palace,31, D(LR),15(1),1351,-,1,0.2,0.4,0.3,0.3,-,0.3,0.6
287,6.57,Yan Valery Southampton,23, D(CR),3(2),369,-,-,0.4,0.2,0.2,0.6,-,0.4,0.2
288,6.57,Kalvin Phillips Leeds,26, D(C),18(2),1596,-,1,0.8,0.5,0.4,1.0,-,0.8,1.6
289,6.57,Harvey Elliott Liverpool,19, AM(CR),4(2),346,-,-,1.7,1.5,0.3,1.0,-,-,1.3
290,6.56,Angus Gunn Norwich,26, GK,9,810,-,-,-,-,-,-,-,-,-
291,6.56,Vladimír Coufal West Ham,30, D(R),25(3),2211,-,4,0.4,0.8,0.5,0.5,0.1,0.5,1.1
292,6.56,Joe Gomez Liverpool,25, D(CLR),4(4),331,-,1,0.1,0.4,0.5,0.3,-,0.3,0.6
293,6.56,Alphonse Areola West Ham,29, GK,1,90,-,-,-,-,-,-,-,-,-
294,6.56,Anthony Elanga Man Utd,20, AM(LR),14(7),1217,2,2,1,0.4,0.5,1,0.1,0.7,1.8
295,6.56,Mathias Normann Norwich,26, M(C),20(3),1653,1,2,1.1,0.6,0.7,1.2,-,0.7,1.2
296,6.55,Alex Oxlade Chamberlain Liverpool,29, M(CLR),9(8),787,2,1,1.2,0.6,0.7,0.2,0.1,0.6,0.9
297,6.55,Imrân Louza Watford,23, M(CLR),17(3),1423,-,-,0.9,0.8,0.7,0.7,-,0.5,1
298,6.55,Charlie Goode Brentford,27, D(C),4(2),448,-,-,0.3,1.2,0.8,1.2,-,0.2,0.5
299,6.54,Brandon Williams Norwich,21, D(L),23(3),2123,-,1,0.2,0.8,0.8,1.7,-,0.7,1.5
