,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating,Country
17,Per Mertesacker ,38, D(C),,35,3150,1.2,1.7,7.1,0.5,7.15,6.89,Germany
18,Glen Johnson ,38, D(CLR),M(R),29,2521,2.2,1.7,2.4,0.3,7.14,6.79,England
19,Geoff Cameron ,37, D(CLR),DMC,37,3286,2.9,2.5,3.4,0.2,7.08,7.37,USA
20,Mamadou Sakho ,32, D(C),,17(1),1481,1.5,1.5,7.6,0.4,7.05,7.15,France
21,David Luiz ,35, D(C),DMC,15(4),1359,1.2,1.3,4.6,0.3,6.98,7.35,Brazil
22,Ron Vlaar ,37, D(C),,32,2806,2,2,6.6,0.6,6.93,7.75,Netherlands
23,Jan Vertonghen ,35, D(CL),,23,2004,1.4,1.8,4.7,0.3,6.93,7.44,Belgium
24,Kolo Touré ,41, D(C),,15(5),1439,1.7,0.8,7.4,0.7,6.91,6.38,Ivory Coast
25,Maynor Figueroa ,39, D(CL),M(L),31(1),2717,2.1,2.4,3.6,0.5,6.87,6.81,Honduras
26,Thomas Vermaelen ,36, D(CL),,7(7),782,1,1.4,5.6,0.1,6.77,6.47,Belgium
27,Gary Medel ,35, D(C),DMC,34,2873,2.3,1.9,1.8,0.3,6.7,7.39,Chile
28,Ricardo Rodríguez ,30, D(CL),M(L),34,3060,3,1.8,2.9,0.4,8.01,8.12,Switzerland
29,Mats Hummels ,33, D(C),,23,1962,2,2.5,5.7,0.3,7.71,7.81,Germany
30,Sokratis Papastathopoulos ,34, D(CR),,24(4),2265,2.6,1.3,4.8,0.5,7.54,7.39,Greece
31,Javi Martínez ,34, D(C),M(C),14(4),1341,2.6,1.6,2.7,0.4,7.5,6.4,Spain
32,Joël Matip ,31, D(C),,31,2790,2.4,2.5,6,0.5,7.45,6.8,Cameroon
33,Luiz Gustavo ,35, D(C),M(C),29,2543,3.4,2.4,1.4,0.2,7.35,7.27,Brazil
34,Bastian Schweinsteiger ,38, D(C),M(C),22(1),1833,1.7,0.6,0.5,0.1,7.32,7.03,Germany
35,Emir Spahic ,42, D(C),,26(1),2345,1.5,2.5,7.5,0.6,7.31,7.3,Bosnia and Herzegovina
36,Jérôme Boateng ,34, D(CR),,25,2169,1.5,1.6,4.1,0.3,7.28,7.21,Germany
37,Sejad Salihovic ,38, D(L),M(CL),22(6),1835,1.6,0.6,1.1,0.1,7.24,6.39,Bosnia and Herzegovina
38,Atsuto Uchida ,34, D(R),M(R),17,1521,2.5,1.9,2.4,0.5,7.22,7.12,Japan
39,Philipp Lahm ,38, D(R),DMC,25(3),2340,1.2,1.3,1.2,0,7.22,7.36,Germany
40,Johan Djourou ,35, D(C),,22,1894,1.5,1.8,7.6,1,7.18,6.87,Switzerland
41,Daniel Van Buyten ,44, D(C),,10(2),926,1.3,1.4,3.8,0.2,7.16,7.42,Belgium
42,Júnior Díaz ,39, D(CL),,15(5),1484,2.2,1,4.1,0.6,7.09,7.06,Costa Rica
43,Sead Kolasinac ,29, D(CL),DMC,21(3),1860,2.9,1.7,2.2,0.2,7.05,6.79,Bosnia and Herzegovina
44,Makoto Hasebe ,38, D(CR),M(CR),14,1260,2.4,1.7,1.7,0.4,7.04,6.87,Japan
45,Marcelo ,35, D(C),,24,2120,1.6,2.3,7.3,0.5,7.02,7.08,Brazil
46,Granit Xhaka ,30, D(L),M(C),23(5),2035,2,1.8,2.1,0.3,7.02,6.8,Switzerland
47,Jermaine Jones ,41, D(C),M(C),9(5),902,2.7,1.5,1.1,0.5,6.97,7.39,USA
48,Hong Jeong-Ho ,33, D(C),,6(10),794,1.1,1.2,4.1,0.6,6.91,7.08,South Korea
49,Benedikt Höwedes ,34, D(CLR),,18(1),1515,1.7,2.6,3.1,0.7,6.87,7.22,Germany
50,Arthur Boka ,39, D(L),M(C),22(3),1786,2.4,2,1.6,0.1,6.83,6.7,Ivory Coast
51,Fabian Johnson ,34, D(LR),M(CLR),23(4),2077,1.8,1.3,1.6,0.2,6.8,6.61,USA
52,John Brooks ,29, D(C),,14(2),1059,1.2,1.7,4.6,0.4,6.78,8.05,USA
53,Sergio Ramos ,36, D(CR),,32,2759,2.3,2.3,4.4,0.5,7.47,7.34,Spain
54,Diego Godín ,36, D(C),,34,3060,1.8,2.6,7.1,0.3,7.44,7.43,Uruguay
55,Dani Alves ,39, D(R),M(CR),26(1),2388,3.1,2,1.4,0,7.44,7.53,Brazil
56,Marcelo ,34, D(L),M(L),24(4),2176,2.5,1.3,1.5,0.1,7.28,7.08,Brazil
57,Javier Mascherano ,38, D(C),M(C),27(1),2367,2.8,2.9,3.4,0.3,7.14,7.53,Argentina
58,Carlos Peña ,39, D(CL),,37,3327,2.5,2.4,5.8,0.3,7.09,6.31,Mexico
59,Jordi Alba ,33, D(L),M(L),14(1),1202,1.5,1.7,2.9,0.2,7.08,6.72,Spain
60,Juanfran ,37, D(R),,35,3150,2.1,2,1.6,0.3,7.06,8,Spain
61,Juanfran ,46, D(CL),,35,3106,2.1,3.1,3.7,0.7,7.03,8,Spain
62,Héctor Moreno ,34, D(CL),,32,2809,1.3,1.7,4.8,0.7,6.93,7.15,Mexico
63,Raphaël Varane ,29, D(C),,12(2),1085,0.7,1.6,3.4,0.6,6.89,6.92,France
64,Toby Alderweireld ,33, D(CR),,10(2),906,2.1,0.8,4.7,0.6,6.87,7.08,Belgium
65,Ricardo Costa ,41, D(C),,20,1717,1.6,1.9,5.4,0.7,6.86,6.69,Portugal
66,Allan-Roméo Nyom ,34, D(LR),M(R),34,2869,2.2,1.1,3.3,0.1,6.83,7.45,Cameroon
67,Andrés Guardado ,36, D(L),M(CL),12(4),1045,1.6,1.8,2.3,0.1,6.79,6.77,Mexico
68,Francisco Silva ,36, D(C),M(C),29(2),2541,2.5,1.8,1.5,0.1,6.72,7.14,Chile
69,Juanfran ,34, D(R),M(R),28(6),2553,1.8,1.9,1.9,0.1,6.72,8,Spain
70,Sèrge Aurier ,29, D(CLR),M(R),34,3045,2.8,2.2,3,0.3,7.42,7.65,Ivory Coast
71,Thiago Silva ,38, D(C),,28,2386,1.1,2.3,5.1,0.8,7.42,7.16,Brazil
72,Faouzi Ghoulam ,31, D(L),,16(1),1466,2.2,1.8,4.4,0.4,7.36,6.48,Algeria
73,Lucas Digne ,29, D(CL),M(L),15,1336,2.3,1.7,1.8,0.2,7.3,7.26,France
74,Aïssa Mandi ,31, D(CLR),,33,2919,3.1,2.2,3.5,0.3,7.09,7.23,Algeria
75,Henri Bedimo ,38, D(L),,35(1),3146,1.6,1.2,2.4,0.1,7.07,6.98,Cameroon
76,Jonathan Mensah ,32, D(CR),,22(4),1829,0.7,2.3,6.2,0.4,6.85,7.17,Ghana
77,Carl Medjani ,37, D(C),DMC,16,1424,1.1,2.8,5.9,0.5,6.7,6.97,Algeria
78,Juan Cuadrado ,34, D(R),M(CLR),31(1),2702,1.8,0.8,0.5,0,7.71,7.54,Colombia
79,Giorgio Chiellini ,38, D(C),,31,2775,2.5,2.1,4.7,0.5,7.62,7.31,Italy
80,Hugo Campagnaro ,42, D(CR),,20(1),1729,2,2.8,4.7,0.4,7.41,7.25,Argentina
81,Daniele De Rossi ,39, D(C),M(C),31(1),2724,1.6,2.3,2.4,0.8,7.4,6.81,Italy
82,Kwadwo Asamoah ,33, D(L),M(CL),32(2),2761,2,1.6,1.4,0.1,7.3,7.28,Ghana
83,Cristián Zapata ,36, D(C),,20,1793,2.2,1.9,6.9,0.5,7.26,7.04,Colombia
84,Shkodran Mustafi ,30, D(CR),,32(1),2834,2.5,3,7.1,0.7,7.24,6.51,Germany
85,Raúl Albiol ,37, D(C),,30(2),2644,1.8,2.1,6.1,0.8,7.16,7.99,Spain
86,Senad Lulic ,36, D(L),M(CL),28(2),2547,2.2,1.3,1.2,0.2,7.14,6.93,Bosnia and Herzegovina
87,Leonardo Bonucci ,35, D(C),,29(1),2537,1.6,1.6,3.4,0.6,7.13,7.06,Italy
88,Maicon ,41, D(R),,28,2328,1.5,1.5,1.8,0.2,7.12,6.45,Brazil
89,Gabriel Paletta ,36, D(C),,19(2),1534,2.7,1.6,5.3,0.5,7.1,6.44,Italy
90,Faouzi Ghoulam ,31, D(L),,14(1),1221,2.3,2,2.2,0.3,7.08,6.48,Algeria
91,Federico Fernández ,33, D(C),,25(1),2294,1.7,2.2,5.3,0.5,7.06,7.27,Argentina
92,Sime Vrsaljko ,30, D(LR),M(R),22,1799,2,1.6,3,0.3,7.02,6.77,Croatia
93,Yuto Nagatomo ,36, D(LR),M(LR),32(2),2847,1.2,1.1,1.2,0.1,7.02,6.98,Japan
94,Andrea Barzagli ,41, D(CR),,26,2288,1.6,1.7,2.9,0.4,6.99,7.02,Italy
95,Mario Yepes ,46, D(C),,21(3),1899,2,1,6.9,0.7,6.98,7.22,Colombia
96,Matteo Darmian ,32, D(CLR),M(LR),37,3286,2.9,1.3,2.4,0.1,6.96,6.62,Italy
97,Martín Cáceres ,35, D(CLR),M(R),14(3),1314,2.2,1.2,2.4,0.6,6.96,6.62,Uruguay
98,Stephan Lichtsteiner ,38, D(R),M(R),24(3),2121,0.9,0.5,1.7,0.1,6.93,6.83,Switzerland
99,Vasilis Torosidis ,37, D(CLR),M(R),12(6),1238,1.2,1,2.5,0.3,6.93,6.6,Greece
100,Ignazio Abate ,35, D(R),M(R),16(3),1462,2.2,1,1.5,0.2,6.77,6.53,Italy
101,Mauricio Isla ,34, D(R),M(CR),10(8),963,1.3,0.5,1,0.1,6.75,6.81,Chile
102,Pablo Armero ,36, D(L),M(L),9(5),878,1.5,1.2,0.9,0.3,6.73,6.91,Colombia
