,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating,Country
14,Vedad Ibisevic ,38, FW,,25(2),2163,10,3,2.1,0.8,1.6,7.09,6.56,Bosnia and Herzegovina
15,Josip Drmic ,30, AM(LR),FW,30(3),2666,17,3,2,1,2.2,7.08,6.91,Switzerland
16,Luis Suárez ,35, AM(CLR),FW,33,2965,31,12,5.5,2.7,2.8,8.43,7.23,Uruguay
17,Eden Hazard ,31, M(CLR),FW,32(3),2898,14,7,2.1,2.7,3.8,7.68,7.44,Belgium
18,Wayne Rooney ,37, M(CLR),FW,27(2),2448,17,10,3.5,1.9,1.4,7.62,7.07,England
19,David Silva ,36, M(CLR),FW,26(1),2174,7,9,2,3.2,1.1,7.57,6.69,Spain
20,Daniel Sturridge ,33, M(R),FW,26(3),2277,21,7,3.4,1,1.3,7.45,6.85,England
21,Raheem Sterling ,27, M(CLR),FW,24(9),2221,9,5,1.4,1.6,2.8,7.4,6.54,England
22,Olivier Giroud ,36, FW,,36,3083,16,8,3.1,1,0.7,7.36,6.7,France
23,Juan Mata ,34, AM(CLR),,14(1),1231,6,4,1.9,2.3,0.9,7.31,7.12,Spain
24,Romelu Lukaku ,29, AM(R),FW,29(2),2564,15,6,3.2,1.1,1.3,7.31,6.55,Belgium
25,Willian ,34, AM(CLR),,18(7),1680,4,2,1.8,2.6,1.5,7.25,6.33,Brazil
26,Loïc Rémy ,35, M(LR),FW,24(2),2103,14,3,3.5,1.2,1.1,7.15,6.32,France
27,Edin Dzeko ,36, FW,,23(8),1993,16,1,3.3,0.6,0.4,7.15,6.99,Bosnia and Herzegovina
28,Kevin Mirallas ,35, M(CLR),FW,28(4),2335,9,7,2.5,1.9,1.4,7.11,6.63,Belgium
29,Wilfried Bony ,33, FW,,27(7),2473,16,4,3.2,0.7,0.7,7.1,6.84,Ivory Coast
30,Samuel Eto'o ,41, M(CL),FW,16(5),1306,9,2,2.8,1,0.9,7.08,6.28,Cameroon
31,Robin van Persie ,39, AM(C),FW,18(3),1584,12,3,3,0.8,0.7,7.06,7.29,Netherlands
32,Lukas Podolski ,37, AM(CLR),FW,14(6),1173,8,2,2.1,0.4,0.3,6.98,6.29,Germany
33,Adnan Januzaj ,27, AM(CLR),,15(12),1641,4,3,1.7,1.1,1.9,6.96,6.67,Belgium
34,Fernando Torres ,38, FW,,16(12),1572,5,5,2.2,1,1.2,6.9,6.69,Spain
35,Juan Mata ,34, AM(CLR),,11(2),834,0,2,0.8,2.3,0.8,6.89,7.12,Spain
36,André Schürrle ,32, M(CLR),FW,15(15),1327,8,2,1.9,1,0.6,6.88,6.99,Germany
37,Danny Welbeck ,31, AM(CLR),FW,15(10),1461,9,1,1.8,0.5,0.8,6.84,6.51,England
38,Bryan Ruiz ,37, M(CLR),FW,8(4),774,1,3,0.9,1.3,1.2,6.77,6.78,Costa Rica
39,Nacer Chadli ,33, M(CLR),FW,15(9),1455,1,3,1.4,1.3,1,6.7,6.33,Belgium
40,Giorgos Karagounis ,45, AM(C),,6(8),657,0,0,0.6,0.9,0.6,6.67,6.9,Greece
41,Lionel Messi ,35, AM(CR),FW,29(2),2508,27,11,5,2.4,4.6,8.34,8.52,Argentina
42,Cristiano Ronaldo ,37, M(L),FW,30,2545,31,9,7.2,1.6,2.2,8.27,7.21,Portugal
43,Alexis Sánchez ,33, M(CLR),FW,27(7),2386,19,10,1.9,1.4,1.1,7.54,8.17,Chile
44,Neymar ,30, AM(CLR),FW,19(7),1742,9,8,2.6,1.6,3,7.51,8.22,Brazil
45,Ángel Di María ,34, M(CLR),FW,27(7),2384,4,17,1.8,2.6,1.4,7.46,7.89,Argentina
46,Karim Benzema ,34, FW,,34(1),2779,17,9,2.9,1.8,0.5,7.44,7.91,France
47,Cesc Fàbregas ,35, M(CL),FW,28(7),2446,8,12,1.4,1.6,0.7,7.32,6.58,Spain
48,Antoine Griezmann ,31, AM(CLR),FW,31(4),2666,16,3,3.2,1,0.6,7.22,6.8,France
49,Pedro ,35, M(CLR),FW,28(9),2367,15,8,1.9,1,0.7,7.13,6.27,Spain
50,Giovani dos Santos ,33, AM(CLR),FW,26(4),2205,10,8,1.9,1.4,0.9,7.03,6.8,Mexico
51,Carlos Bacca ,36, FW,,27(7),2290,14,5,1.9,1,0.9,7.01,6.5,Colombia
52,Cristhian Stuani ,36, AM(CLR),FW,28(6),2574,6,2,1.5,0.6,0.6,6.94,6.38,Uruguay
53,Javier Aquino ,32, AM(R),,18(9),1695,1,4,0.7,1,1.1,6.93,6.49,Mexico
54,David Villa ,40, AM(L),FW,32(4),2431,13,4,2.1,0.8,0.3,6.85,7.53,Spain
55,James Rodríguez ,31, AM(CLR),FW,30(4),2644,9,12,2.7,2.5,1.3,7.44,8.43,Colombia
56,André Ayew ,32, M(CLR),FW,24(1),2121,6,3,2.3,1.1,1.2,7.28,7.27,Ghana
57,Edinson Cavani ,35, AM(LR),FW,25(5),2299,16,2,3.2,0.8,0.6,7.16,6.62,Uruguay
58,Salomon Kalou ,37, AM(CLR),FW,36(2),3116,16,6,2.6,1.4,2,7.1,6.48,Ivory Coast
59,Max-Alain Gradel ,34, M(CLR),FW,10(8),978,5,5,1.7,1.3,1.3,7,6.45,Ivory Coast
60,Ezequiel Lavezzi ,37, AM(CLR),FW,25(7),1893,9,0,1.4,1.1,0.7,6.78,6.61,Argentina
61,Alejandro Bedoya ,35, M(CR),FW,24(7),2205,5,0,1.4,0.8,0.2,6.7,6.65,USA
62,Gervinho ,35, M(LR),FW,30(3),2730,9,10,1.9,1.5,2.3,7.35,7.3,Ivory Coast
63,Mario Balotelli ,32, FW,,25(5),2294,14,6,5.1,1.1,1.9,7.31,6.47,Italy
64,Alessio Cerci ,35, M(R),FW,35(2),3018,13,10,3.2,1.6,1.8,7.29,6.36,Italy
65,Dries Mertens ,35, AM(CLR),FW,21(12),1912,11,5,2.6,1.6,1.5,7.21,6.74,Belgium
66,Gonzalo Higuaín ,34, FW,,28(4),2423,17,7,2.8,0.8,1.2,7.14,6.43,Argentina
67,Paulinho ,36, FW,,35,3144,15,3,2.8,1.3,1.2,6.96,6.51,Brazil
68,Miroslav Klose ,44, FW,,22(3),2019,7,2,1.7,0.7,0.8,6.95,6.97,Germany
69,Lazaros Christodoulopoulos ,35, AM(CLR),FW,20(7),1834,2,2,2.2,1.7,1.7,6.93,7.04,Greece
70,Victor Ibarbo ,32, AM(LR),FW,20(10),2030,4,2,1.2,1.1,2.4,6.88,6.48,Colombia
